knee_angle_left,knee_angle_right,knee_angle_avg,hip_angle_left,hip_angle_right,ankle_angle_left,ankle_angle_right,back_angle,hip_hinge_angle,frontal_weight,foot_asymmetry,knee_cave_pct_left,knee_cave_pct_right,knee_over_toe_left,knee_over_toe_right,shoulder_width,hip_width,elbow_width,elbow_flare_pct,elbow_flare_angle_lateral,arm_angle_left,arm_angle_right,wrist_dev_left,wrist_dev_right,phase_code,DEPTH_INSUFFICIENT,KNEE_CAVE_LEFT,KNEE_CAVE_RIGHT,KNEE_OVER_TOE_LEFT,KNEE_OVER_TOE_RIGHT,BACK_NOT_STRAIGHT,score
83.79,82.43,83.11000000000001,22.56,117.94,116.47,157.18,51.73,70.25,0.912,0.01456549767281401,0.7992414428686812,6.673987828345091,0.06289745145809705,0.06339393192425674,0.14328988788846764,0.5132912304794494,0.18198591715209522,27.00541526960183,9.368465263817363,167.16,159.05,0.053240816666268564,0.07777596607926396,3,NONE,NONE,MEDIUM,NONE,NONE,MEDIUM,70.0
73.35,46.41,59.879999999999995,79.39,65.16,135.26,103.75,14.32,79.39,0.0,0.011471200124033798,2.7774893807179013,3.120240134532992,0.09740871497824977,-0.007334463222559262,0.014043098547210753,0.031297379915513956,0.004420465620552205,-68.52214911337924,20.404274899208097,123.47,158.46,0.1161562325866482,0.06830200608262882,3,NONE,NONE,NONE,MEDIUM,NONE,NONE,85.0
160.79,153.96,157.375,84.73,147.12,155.36,110.26,70.42,115.93,0.967,0.0015263532784031142,-0.3964397721270996,1.715901261047259,0.011195984763800848,0.10514578628887217,0.122640094623369,0.37292873601745496,0.13354728335618693,8.893656488372907,11.780565745919533,114.79,91.36,0.11393304989751296,0.13147241630007667,1,NONE,NONE,NONE,NONE,NONE,HIGH,75.0
164.24,147.79,156.015,147.59,159.47,167.64,103.7,12.95,147.59,0.325,0.023511741036534306,-1.1909890925504707,-4.359582916982873,-0.017944080682982255,-0.01785243478112508,0.07986023996890496,0.1579829077385973,0.0519546176360825,-34.9430734789778,7.46392764968948,108.16,79.69,0.12839617594587582,0.13476870768805588,1,NONE,NONE,NONE,NONE,NONE,NONE,100.0
90.99,73.56,82.275,115.36,98.55,142.74,67.62,19.44,106.95,0.896,0.015243874100314247,0.41028306136642323,5.549355223776409,-0.027472725618748084,-0.010925604307525982,0.1507603432728566,0.1998990252368259,0.13727579417590685,-8.944360834032103,8.512019531473547,113.46,84.5,0.11419282831441169,0.08935746741293904,2,LOW,NONE,MEDIUM,NONE,NONE,NONE,80.0
104.7,113.94,109.32,55.37,65.02,118.3,130.18,56.75,55.37,0.0,0.008464300598722385,2.6981467513500945,0.20861039552980687,0.1252754367997132,0.07904472079148905,0.01220912627815729,0.04960817435854159,0.029036046642893942,137.82247788558644,9.273460217054224,131.2,120.18,0.09027415918715265,0.09916937274238147,2,LOW,NONE,NONE,MEDIUM,MEDIUM,MEDIUM,50.0
159.5,160.21,159.85500000000002,174.61,171.84,98.19,107.66,13.71,173.23,0.882,0.0011787635152690212,9.902798809000624,4.008892530104735,0.0025735328996395745,-0.036484950402770666,0.132335631358244,0.10370977164641337,0.187053715699951,41.34796031885049,9.576756200749681,92.34,166.0,0.13780362403708157,0.01340704450952046,2,NONE,MEDIUM,MEDIUM,NONE,NONE,NONE,70.0
90.61,92.56,91.58500000000001,32.01,44.1,160.34,175.68,51.57,38.05,0.931,0.016867270926073763,-1.5811559762944793,0.3237473825223214,-0.02084354760520768,0.006380156910475998,0.15720584924576464,0.18783314466319098,0.16886531432794344,7.416686553406296,17.507299753145922,171.82,144.34,0.033938967528333974,0.0697603189295588,2,LOW,NONE,NONE,NONE,NONE,MEDIUM,80.0
119.2,124.42,121.81,69.51,163.34,77.46,121.21,61.96,116.43,0.819,0.00836155942138872,13.385279688776762,-0.6296246324447807,0.07951118918551109,-0.03127625878671236,0.18047675133949426,0.29381819795497865,0.21185866888264349,17.38834354576607,3.497078549181107,50.24,152.95,0.11286663723490364,0.007082627082975357,2,LOW,MEDIUM,NONE,NONE,NONE,MEDIUM,65.0
174.13,177.49,175.81,156.68,175.08,128.58,137.99,18.6,165.88,0.978,0.03610924863355913,3.311054759856807,-1.1203304327060404,0.1102569189892863,0.020979089135347073,0.12621689182392704,0.192341119919627,0.14442406818097253,14.425308763302905,5.790101707774589,151.65,88.33,0.05217290061585955,0.12462539307005016,1,NONE,NONE,NONE,NONE,NONE,NONE,100.0
136.05,129.39,132.72,166.91,170.54,135.15,131.15,61.05,166.91,0.0,0.004990718506532432,1.7032451042272745,-0.19935423521453832,0.01851875084540877,-0.03397085300771796,0.020921823134758433,0.0019820949049329517,0.0012808287559652465,-93.87802512374104,19.02992284426522,159.85,88.81,0.04618269001903941,0.11501207132458424,2,NONE,NONE,NONE,NONE,NONE,MEDIUM,85.0
129.43,129.16,129.29500000000002,90.48,124.72,98.74,169.51,30.71,99.5,0.527,0.007248717993433629,1.5968631436525604,2.299863459462026,-0.0536451272200944,0.030680351805675965,0.10574247858995878,0.40954329604366463,0.10988830965480434,3.920686482980972,7.314674835816701,69.2,161.15,0.11512362046368979,0.03663060235590199,2,NONE,NONE,NONE,NONE,NONE,NONE,100.0
62.23,67.89,65.06,35.23,38.85,147.74,162.39,32.92,37.04,0.939,0.006080846404689311,2.736029156592179,-0.7901509774136173,0.06295251612957481,0.003930665448291015,0.15831341242333752,0.18265592117571888,0.18064172389710104,14.103865952972171,13.222552174984271,149.57,166.9,0.08492378685365848,0.04126336081759974,3,NONE,NONE,NONE,NONE,NONE,NONE,100.0
164.3,173.27,168.78500000000003,174.6,141.93,79.45,121.96,29.95,141.93,0.081,0.0014224433159960581,8.482453234153736,0.5022082280522255,-0.02912887806190756,0.05467293826471975,0.032669269346123686,0.09258082577795629,0.004500391115597746,-86.22439005930283,7.756126634141234,174.79,79.82,0.002778028301776536,0.10868244294877805,1,NONE,NONE,NONE,NONE,MEDIUM,NONE,85.0
62.81,69.28,66.045,12.58,91.77,78.07,134.33,56.5,52.17,0.948,0.006629132270576599,8.198595920837693,0.8416776567693129,-0.04256441365081998,0.037004622172682744,0.17871831609292022,0.5183382589747332,0.19262331867556104,7.780401520463777,12.622591069469673,85.84,74.43,0.13878007768490863,0.13134894680563636,3,NONE,MEDIUM,NONE,NONE,NONE,MEDIUM,70.0
147.97,154.28,151.125,146.18,144.6,90.21,145.37,48.66,146.18,0.0,0.018391850692828338,-6.060246256969654,3.761244177107903,0.051514954800419455,0.07645059899130813,0.02225299142388304,0.05656087946179289,0.0372153676591499,67.23759493839772,8.497248249545994,111.77,123.96,0.10991144980809198,0.1161559996719499,2,NONE,NONE,NONE,MEDIUM,MEDIUM,MEDIUM,55.0
139.17,138.31,138.74,87.29,151.57,124.8,133.84,43.13,106.38,0.594,0.00714008654713183,0.4089268029227766,3.3254631463535245,0.07287203337056164,-0.004251242931778587,0.09463899577406687,0.3441999853043807,0.06137013855972906,-35.15343431344207,4.427665358992887,68.43,84.04,0.10531036589286147,0.11389223614906763,2,NONE,NONE,NONE,MEDIUM,NONE,NONE,85.0
101.77,103.13,102.44999999999999,46.46,46.72,136.82,156.83,67.1,46.59,0.754,0.01950798643591556,2.7151404523298894,-4.196376859149398,0.08410721242003855,-0.03281227437580769,0.12797863912843238,0.16953220396051458,0.10885609549501696,-14.941980758386626,8.066286521341437,95.29,162.3,0.14704161627783996,0.053437612794994704,2,LOW,NONE,NONE,NONE,NONE,HIGH,70.0
103.31,106.57,104.94,59.55,73.51,164.61,125.48,40.01,59.55,0.15,0.005127497996382346,-1.6006244924284485,-2.7505716654698587,-0.015506771765991467,0.013489472806062608,0.05181896962696786,0.42395998398021456,0.017213709165573632,-66.78106629774592,18.16963279377057,79.55,164.76,0.10360486903855914,0.06096272003418024,2,LOW,NONE,NONE,NONE,NONE,NONE,95.0
66.66,79.5,73.08,68.6,115.3,101.92,60.8,4.6,68.6,0.104,0.022278124214394235,-2.580410287321566,12.139337056304228,0.08077892473759068,0.06449041629067015,0.060695118144119764,0.003798608886989574,0.061454273517410396,1.2507684250453677,18.357039497847488,72.37,56.45,0.13855638813625715,0.06249021231345386,3,NONE,NONE,NONE,MEDIUM,MEDIUM,NONE,70.0
91.29,93.27,92.28,28.45,106.0,149.53,111.57,62.15,42.29,0.357,0.009203179770264192,1.840858190481648,3.07184082844546,0.008990474711712382,0.09342574737446296,0.08780930890494698,0.5157777138892423,0.07368875273579334,-16.080933041437618,12.584294450986437,100.06,56.49,0.10804490211651785,0.11695813342036432,2,LOW,NONE,NONE,NONE,MEDIUM,MEDIUM,65.0
63.69,68.29,65.99000000000001,65.82,12.59,115.99,134.08,1.52,65.82,0.25,0.002706022680859954,-1.1687534457674564,-1.3438916633953357,0.05813971802844442,0.01667573023074509,0.007519079905745296,0.3601824177459979,0.023842116850774864,217.08822288957467,11.464920608936254,143.97,175.79,0.09292654518290822,0.020210308284731915,3,NONE,NONE,NONE,MEDIUM,NONE,NONE,85.0
